metal_Z,ox_state,d_electrons,ligand_strength,coord_number,geom_factor,effective_field,is_octahedral,is_tetrahedral,is_square_planar
27,3,6,1.25,6,1.0,1.25,1,0,0
27,2,7,1.0,6,1.0,1.0,1,0,0
27,3,6,1.0,6,1.0,1.0,1,0,0
27,3,6,1.4,6,1.0,1.4,1,0,0
27,3,6,1.0899999999999999,6,1.0,1.0899999999999999,1,0,0
27,2,7,1.5,6,1.0,1.5,1,0,0
27,2,7,1.5,6,1.0,1.5,1,0,0
27,3,6,1.7,6,1.0,1.7,1,0,0
27,2,7,0.78,4,0.44,0.3432,0,1,0
27,2,7,0.7,4,0.44,0.308,0,1,0
27,2,7,0.6,4,0.44,0.264,0,1,0
27,3,6,0.83,6,1.0,0.83,1,0,0
27,3,6,1.6,6,1.0,1.6,1,0,0
27,3,6,1.1716666666666666,6,1.0,1.1716666666666666,1,0,0
27,3,6,1.425,6,1.0,1.425,1,0,0
27,3,6,1.125,6,1.0,1.125,1,0,0
27,3,6,1.0933333333333335,6,1.0,1.0933333333333335,1,0,0
27,3,6,1.1,6,1.0,1.1,1,0,0
27,3,6,0.9,6,1.0,0.9,1,0,0
27,3,6,1.2,6,1.0,1.2,1,0,0
27,3,6,1.3,6,1.0,1.3,1,0,0
28,2,8,1.0,6,1.0,1.0,1,0,0
28,2,8,1.25,6,1.0,1.25,1,0,0
28,2,8,1.4,6,1.0,1.4,1,0,0
28,2,8,1.5,6,1.0,1.5,1,0,0
28,2,8,1.5,6,1.0,1.5,1,0,0
28,2,8,1.7,4,1.2,2.04,0,0,1
28,2,8,0.78,4,0.44,0.3432,0,1,0
28,2,8,0.7,4,0.44,0.308,0,1,0
28,2,8,0.6,4,0.44,0.264,0,1,0
28,2,8,0.83,4,0.44,0.36519999999999997,0,1,0
28,2,8,1.1,6,1.0,1.1,1,0,0
28,2,8,1.55,4,1.2,1.8599999999999999,0,0,1
28,2,8,0.9,6,1.0,0.9,1,0,0
28,2,8,1.2,6,1.0,1.2,1,0,0
28,2,8,1.6,6,1.0,1.6,1,0,0
28,2,8,1.3,6,1.0,1.3,1,0,0
29,2,9,1.0,6,1.0,1.0,1,0,0
29,2,9,1.25,4,1.2,1.5,0,0,1
29,2,9,1.4,4,1.2,1.68,0,0,1
29,2,9,1.5,4,1.2,1.7999999999999998,0,0,1
29,2,9,1.5,4,1.2,1.7999999999999998,0,0,1
29,2,9,0.78,4,0.44,0.3432,0,1,0
29,2,9,0.7,4,0.44,0.308,0,1,0
29,2,9,0.83,4,0.44,0.36519999999999997,0,1,0
29,2,9,1.15,4,1.2,1.38,0,0,1
29,2,9,1.1,4,1.2,1.32,0,0,1
29,2,9,1.2,6,1.0,1.2,1,0,0
29,2,9,1.6,4,1.2,1.92,0,0,1
29,2,9,1.125,4,1.2,1.3499999999999999,0,0,1
29,2,9,1.2,4,1.2,1.44,0,0,1
29,2,9,0.9,6,1.0,0.9,1,0,0
26,2,6,1.0,6,1.0,1.0,1,0,0
26,2,6,1.4,6,1.0,1.4,1,0,0
26,3,5,1.4,6,1.0,1.4,1,0,0
26,2,6,1.7,6,1.0,1.7,1,0,0
26,3,5,1.7,6,1.0,1.7,1,0,0
26,3,5,0.78,4,0.44,0.3432,0,1,0
26,3,5,0.7,4,0.44,0.308,0,1,0
26,3,5,0.78,6,1.0,0.78,1,0,0
26,3,5,1.1,6,1.0,1.1,1,0,0
26,3,5,1.15,6,1.0,1.15,1,0,0
26,3,5,1.2,6,1.0,1.2,1,0,0
24,3,3,1.0,6,1.0,1.0,1,0,0
24,3,3,1.25,6,1.0,1.25,1,0,0
24,3,3,1.4,6,1.0,1.4,1,0,0
24,3,3,1.5,6,1.0,1.5,1,0,0
24,3,3,1.5,6,1.0,1.5,1,0,0
24,3,3,1.7,6,1.0,1.7,1,0,0
24,3,3,0.78,6,1.0,0.78,1,0,0
24,3,3,0.7,6,1.0,0.7,1,0,0
24,3,3,0.6,6,1.0,0.6,1,0,0
24,3,3,0.9,6,1.0,0.9,1,0,0
24,3,3,1.1,6,1.0,1.1,1,0,0
24,3,3,0.89,6,1.0,0.89,1,0,0
24,3,3,1.0150000000000001,6,1.0,1.0150000000000001,1,0,0
24,3,3,1.15,6,1.0,1.15,1,0,0
24,3,3,1.6,6,1.0,1.6,1,0,0
25,2,5,1.0,6,1.0,1.0,1,0,0
25,2,5,1.25,6,1.0,1.25,1,0,0
25,2,5,1.4,6,1.0,1.4,1,0,0
25,2,5,1.7,6,1.0,1.7,1,0,0
25,2,5,0.78,4,0.44,0.3432,0,1,0
25,3,4,1.15,6,1.0,1.15,1,0,0
25,2,5,1.2,6,1.0,1.2,1,0,0
25,2,5,0.9,6,1.0,0.9,1,0,0
23,3,2,1.0,6,1.0,1.0,1,0,0
23,3,2,1.25,6,1.0,1.25,1,0,0
22,3,1,1.0,6,1.0,1.0,1,0,0
22,3,1,0.78,6,1.0,0.78,1,0,0
22,3,1,0.9,6,1.0,0.9,1,0,0
